iteration,split,top1_rate,ci95,count,tokens
460,test,0.37270341207349084,0.04855251493394667,381,226099200
460,train,0.36988304093567254,0.03618018760244143,684,226099200
1000,test,0.5511811023622047,0.04994319367986395,381,491520000
1000,train,0.5,0.037471236532191754,684,491520000
2140,test,0.7034120734908137,0.04586434827144217,381,1051852800
2140,train,0.6388888888888888,0.03599656947853226,684,1051852800
5000,test,0.7454068241469817,0.04374351170268182,381,2457600000
5000,train,0.695906432748538,0.034475221298415376,684,2457600000
6420,test,0.8136482939632546,0.039100168513677834,381,3155558400
6420,train,0.7690058479532164,0.03158590569145836,684,3155558400
7440,test,0.8451443569553806,0.03632641578731712,381,3656908800
7440,train,0.8391812865497076,0.027531140803302576,684,3656908800
10000,test,0.8320209973753281,0.037539477709411545,381,4915200000
10000,train,0.7733918128654971,0.0313736902066676,684,4915200000
12000,test,0.8241469816272966,0.038227054280803245,381,5898240000
12000,train,0.7953216374269005,0.030236769307159697,684,5898240000
13700,test,0.8083989501312336,0.03951894991680058,381,6733824000
13700,train,0.7792397660818714,0.03108307647494789,684,6733824000
16200,test,0.8398950131233596,0.03682209672721428,381,7962624000
16200,train,0.7997076023391813,0.029993411471193523,684,7962624000
20000,test,0.8503937007874016,0.03581612035662123,381,9830400000
20000,train,0.8128654970760234,0.029229023025578314,684,9830400000
